,role,company_name,work_experience,location,skills,post_date
81,Senior Analyst-Data Science,AMERICAN EXPRESS,0-3 Yrs,Gurugram,"['Text mining', 'Career development', 'Finance', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'model development', 'Risk management']",29 Days Ago
82,Data Analyst (B.Sc - Maths/Physics) in Engineering Department,Allied Engineers,0-3 Yrs,"New Delhi(Govind Puri +4), Faridabad(Sector-27C Faridabad +9), Delhi / NCR","['Mathematics', 'Physics', 'Graduation in Physics or Maths', 'Data Analysis', 'B.Sc Physics', 'B.Sc Maths', 'Analysis', 'Engineering']",4 Days Ago
83,Data Analyst Intern,Idatalytics,,Hybrid - Kochi,[],Starts within 1 month
84,Trainee Data Analyst,Sanofi,0-1 Yrs,Hyderabad,"['Supply chain', 'Data analysis', 'Automation', 'Project management', 'Business analytics', 'Analytical', 'Pharma', 'MS Office']",4 Days Ago
85,Data Science Analyst Intern,Greenizon Agritech Consultancy,,Bengaluru,[],Starts in 1-3 months
86,Finance Executive/ Data Analyst - Bhopal,GTS Telecom Services,0-4 Yrs,Bhopal,"['Excel', 'MIS Preparation', 'TALLY', 'Finance And Accounts', 'Data Analysis', 'Advanced Excel', 'Finance Operation', 'MIS Reporting']",10 Days Ago
87,Data Analyst/Data Research Executive,World Web Technology,0-2 Yrs,Ahmedabad,"['Lead generation', 'Data analysis', 'PDF', 'Manager Technology', 'Data quality', 'Sales process', 'Research', 'Data mining']",30+ Days Ago
88,MIS Data Analyst,Mantras2Success Consultants,0-5 Yrs,Hyderabad,"['BPO', 'Procurement', 'Front office', 'Automation', 'Coding', 'MIS', 'Analytical', 'Financial services']",30+ Days Ago
89,Data Analyst Trainee  - DA-Trainee,ZenCorp Techno Solutions(ZCTS),0-1 Yrs,Coimbatore,"['Data Analysis', 'Java', 'R', 'data management', 'quality control', 'data mining', 'machine learning', 'Python']",11 Days Ago
90,Trainee data Analyst. (Life sciences),Pharma Targeting Research pvt ltd,0 Yrs,Mumbai Suburban,"['Advanced Excel Formulas', 'Data Analysis', 'Typing Skills', 'Internet Searching', 'Market Research', 'Information Research', 'Web Research', 'Email Management']",11 Days Ago
91,Junior Data Analyst,Pipecare Group,0-2 Yrs,Noida,"['GIS', 'Data analysis', 'Process analysis', 'Manager Quality Assurance', 'MS Access', 'Analytical', 'Data quality', 'Petrochemical']",30+ Days Ago
