,role,company_name,work_experience,location,skills,post_date
13,ESG Data Analyst  - ESG Newsroom,Institutional Shareholder Services,0-3 Yrs,Mumbai,"['Analyst', 'Environmental science', 'Corporate governance', 'Business analytics', 'Diversity and Inclusion', 'Finance', 'ISS', 'Data Analyst']",7 Days Ago
14,UnitedLex is hiring For Analyst - Data Intake role (24*7 Rotational),Unitedlex,0-4 Yrs,Gurugram,"['Data Review', 'Data Manipulation', 'Data Management', 'Data Analysis', 'Data Cleansing', 'Data Extraction', 'Data Visualization', 'Data Crunching']",7 Days Ago
15,Data Analyst (Excel),Rocket Careers,0-5 Yrs,Remote,"['eager to learn', 'bachelors', 'adaptable', 'Excel', 'Data', 'Data analysis', 'Adaptability']",13 Days Ago
16,HCLTech is Hiring For Data Analyst || Fresher,HCLTech,,,"['Good Comm Skills', 'Fresher', 'Comm Skills', 'Data', 'Comm', 'Hiring']",4 Days Ago
17,Data Analyst,Sociomix,0-5 Yrs,New Delhi,"['Data analysis', 'Statistical analysis', 'Excel', 'Data Analyst', 'data visualization', 'SQL', 'Data', 'Statistics']",14 Days Ago
18,Data Analyst,Magic Infomedia,0-2 Yrs,New Delhi,"['master data', 'metadata', 'python', 'data analysis', 'data management', 'data analytics', 'data validation', 'configuration']",28 Days Ago
19,Data Analyst,Milestone Online Technology,0-1 Yrs,"Hybrid - Kolkata, Pune, Delhi / NCR","['Finance', 'Reporting', 'MIS Reporting', 'Excel Report Preparation', 'Business Analysis', 'Pivot Table', 'Excel', 'Analysis']",4 Days Ago
20,Data Analyst,Siemens,0-6 Yrs,Bengaluru,"['Data analysis', 'Manager Quality Assurance', 'Data modeling', 'Analytical', 'Trend analysis', 'power bi', 'Data quality', 'Forecasting']",30+ Days Ago
21,Data Analyst,Milestone Online Technology,0-1 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru","['Finance', 'Reporting', 'MIS Reporting', 'Excel Report Preparation', 'Business Analysis', 'Pivot Table', 'Excel', 'Analysis']",8 Days Ago
22,Data Analyst (Excel),Rocket Careers,0-5 Yrs,Remote,"['eager to learn', 'Data analysis', 'Data', 'Excel']",13 Days Ago
23,Data Analyst,Bottle Lab Technologies,0-1 Yrs,Bengaluru,"['Computer science', 'Data analysis', 'Data management', 'Trend analysis', 'Market research', 'Data quality', 'Data mining', 'Forecasting']",17 Days Ago
24,Data Analyst,Augie,0-3 Yrs,Bengaluru,"['Market analysis', 'Usage', 'Excel', 'Data collection', 'Database', 'Data Analyst', 'data visualization', 'Troubleshooting']",30+ Days Ago
25,Data Analyst,St. John’s Research Institute,0-4 Yrs,Bengaluru,"['Nutrition', 'Coding', 'CRC', 'Data Analyst', 'Research', 'Bioinformatics', 'Python', 'Data analysis']",30+ Days Ago
26,Data Analyst,Digital Glyde,0-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","['Data analysis', 'Excel', 'Statistical analysis', 'Analytical', 'power bi', 'data integrity', 'Data Analyst', 'data visualization']",21 Days Ago
27,Data Analyst,Bombay Play,0-3 Yrs,Bengaluru,"['C++', 'Analytical', 'Machine learning', 'Javascript', 'Data Analyst', 'Open source', 'Statistics', 'Analytics']",30+ Days Ago
28,Data Analyst,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED,0-8 Yrs,Bengaluru,"['Microstrategy', 'Data analysis', 'SAS', 'Analytical', 'Data Analyst', 'Business intelligence', 'Analytics', 'Reporting tools']",30+ Days Ago
29,"Analyst, Data Informatics 3",Kla Tencor,0-5 Yrs,Chennai,"['Automation', 'Javascript', 'Agile', 'Packaging', 'HTML', 'Customer service', 'Apache', 'Ruby']",8 Days Ago
30,Data Analyst (Female preffered),Sheetal Group,0-2 Yrs,Mumbai,"['Data Analytics', 'Data Science', 'Predictive Modeling', 'Data Analysis', 'Statistical Modeling', 'Data Visualization', 'Data Cleansing', 'Data Extraction']",29 Days Ago
31,DATA ANALYST,VR Careerz,0-1 Yrs,Chennai,"['Data analysis', 'SAS', 'Coding', 'Process improvement', 'XML', 'Analytical', 'Javascript', 'Data collection']",30+ Days Ago
32,Data Analyst,CRE Matrix,0-4 Yrs,Mumbai,"['Matrix', 'Excel', 'CRE', 'Machine learning', 'Banking', 'Leasing', 'Data Analyst', 'Taxation']",30+ Days Ago
33,Data Analyst,Kaleeswari Refinery P Ltd,0-3 Yrs,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore","['Data Analyst', 'Data', 'Data analysis']",30+ Days Ago
34,Data Analyst,Improx Data And Cloud Consulting,0-2 Yrs,Pune,"['Operations Analyst', 'Data management', 'Coding', 'Data collection', 'Test cases', 'Continuous improvement', 'Information technology', 'SQL']",30+ Days Ago
35,Data Analyst,Teplar Solutions,0-4 Yrs,Coimbatore,"['Analytical', 'Litigation', 'Workflow', 'Customer support', 'Business Development Executive', 'Client interaction', 'Data Analyst', 'MS Office']",30+ Days Ago
36,Data Analysts / HTML Editor,I-tech Infonet,0-2 Yrs,Rajkot,"['Training', 'Adobe Acrobat', 'PDF', 'XML', 'Epub', 'HTML', 'Editor', 'Testing']",30+ Days Ago
37,Data Analyst,Nxtwave Disruptive Technologies,0-2 Yrs,Hyderabad,"['data analyst', 'sql', 'python', 'power bi', 'Bi', 'Data analysis', 'Data']",21 Days Ago
38,Data Analyst,Ipro India,0-4 Yrs,Chandigarh,"['SQL database', 'Database management', 'Debugging', 'query', 'Programming', 'power bi', 'Data Analyst', 'Data warehousing']",30+ Days Ago
39,Data Analyst,P S International HR Consultants,0-4 Yrs,Mumbai,"['Automation', 'Networking', 'Configuration management', 'Agile', 'Workflow', 'Visual Studio', 'SSIS', 'microsoft']",30+ Days Ago
40,Data Analyst,Sea And Beyond,0-2 Yrs,Mumbai,"['data cleansing', 'Report generation', 'metadata', 'Manager Quality Assurance', 'data integrity', 'Data Analyst', 'Management', 'Troubleshooting']",30+ Days Ago
41,Data Analyst,Pharmahopers,0-1 Yrs,Chennai,"['Data Analyst', 'Data entry', 'Data analysis', 'Data']",30+ Days Ago
42,Data Analysts / HTML Editor,Ace Software Exports,0-4 Yrs,Rajkot,"['Training', 'Adobe Acrobat', 'XML', 'Epub', 'HTML', 'Editor', 'Testing', 'Data analysis']",30+ Days Ago
43,Data Analyst,Rabia Info Solution,0-1 Yrs,Chennai,"['Computer Science', 'Software Engineering', 'Information Technology', 'Technology', 'Computer', 'Data analysis', 'Data', 'Engineering']",28 Days Ago
44,Data Analyst,Primohunt Corporate,0-3 Yrs,Pune,"['Analytical skills', 'Market study', 'Data analysis', 'Google Analytics', 'Coding', 'Database', 'Webtrends', 'Data Analyst']",30+ Days Ago
45,Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,0-5 Yrs,"New Delhi, Gurugram","['Product management', 'ERP', 'Data analysis', 'PHP', 'Data Analyst', 'Open source', 'Data mining', 'SQL']",30+ Days Ago
46,Data Analyst,Recruitrix Technologies LLP,0-2 Yrs,Hyderabad,"['Graphics', 'Excel', 'Data management', 'Data Analyst', 'Statistics', 'Data analysis', 'Management', 'Data']",30+ Days Ago
47,Hiring Data Analyst as fresher,PVR India,0 Yrs,"Tiruchirapalli, Coimbatore","['Data Science', 'Advanced Analytics', 'Machine Learning', 'Data analysis', 'Data', 'Machine', 'Science', 'As']",17 Days Ago
48,Data Analyst,Milestone Online Technology,0-1 Yrs,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","['Data Analysis', 'SQL Queries', 'Data Cleansing', 'Reporting', 'Excel Report Preparation', 'Pivot Table', 'Data Science', 'Excel']",23 Days Ago
49,MIS /Ops/Reporting/Business- Data Analyst,Business Toys,0-5 Yrs,"Haveri, Hassan, Dharwad, Sakleshpur, Hubli, Arsikere, Bengaluru","['Business Data Analyst', 'MIS', 'Ops', 'MIS reporting', 'Reporting', 'Data analysis', 'Data', 'Business analysis']",4 Days Ago
50,MIS /Ops/Reporting/Business- Data Analyst,Business Toys,0-5 Yrs,"Srinivaspur, Madikeri, Kolar, Mulbagal, Kodagu, Bengaluru","['Business Data Analyst', 'MIS', 'Ops', 'Reporting', 'MIS reporting', 'Business Data Analysis', 'Data', 'Data analysis']",4 Days Ago
