,Name,Rating,Current Price,Original Price,Discount,Features
99,ASUS Vivobook 16 (2023) AMD Ryzen 5 Hexa Core 7530U,4.4,"₹51,990","₹82,990",37%,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Onsite Warranty
100,ZEBRONICS Pro Series Z Intel Core i3 12th Gen 1215U,3.8,"₹25,990","₹50,999",49%,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty
101,HP AMD Ryzen 3 Quad Core 5300U,4.2,"₹31,990","₹47,147",32%,"AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty"
102,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,4.3,"₹62,990","₹94,990",33%,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
103,MSI Modern 14 Intel Core i7 13th Gen 1355U,4.2,"₹59,990","₹85,990",30%,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty
104,HP 255 G9 AMD Ryzen 3 Dual Core R3 3250,4.1,"₹25,990","₹39,999",35%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty by OEM
105,ASUS Vivobook S 14 Flip (2023) AMD Ryzen 5 Hexa Core 7530U,4.3,"₹58,990","₹90,990",35%,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty
106,MSI Modern 14 Intel Core i3 13th Gen 1315U,4.4,"₹35,990","₹58,990",38%,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty
107,Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H,4.2,"₹67,990","₹1,05,190",35%,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) DisplayMicrosoft Office Home & Student 20211 Yr Onsite Warranty + 1 Yr Premium Care
108,Apple 2020 Macbook Air Apple M1,4.7,"₹71,990","₹89,900",19%,"Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty"
109,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,4.2,"₹33,990","₹50,990",33%,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
